Source,Target,Prediction,Confidence
http://www.omim.org/phenotypicSeries/PS270300,http://www.orpha.net/ORDO/Orphanet_817,False,0.9999932502087602
http://omim.org/entry/605479,http://www.orpha.net/ORDO/Orphanet_99961,False,0.8519510972899247
http://omim.org/entry/613564,http://www.orpha.net/ORDO/Orphanet_261349,False,0.9999782307609466
http://omim.org/entry/101850,http://www.orpha.net/ORDO/Orphanet_79502,False,0.7310560075662741
http://omim.org/entry/600884,http://www.orpha.net/ORDO/Orphanet_98893,False,0.9998763263659391
http://omim.org/entry/615785,http://www.orpha.net/ORDO/Orphanet_171723,False,0.7310547439116906
http://omim.org/entry/604928,http://www.orpha.net/ORDO/Orphanet_3463,False,0.9975266899964694
http://omim.org/entry/252650,http://www.orpha.net/ORDO/Orphanet_79212,False,0.9999982567411922
http://omim.org/entry/108721,http://www.orpha.net/ORDO/Orphanet_56305,False,0.9999993295729128
http://omim.org/entry/259775,http://www.orpha.net/ORDO/Orphanet_1832,False,0.999998852758698
http://omim.org/entry/609220,http://www.orpha.net/ORDO/Orphanet_2771,False,0.9999828796127436
http://omim.org/entry/615803,http://www.orpha.net/ORDO/Orphanet_411493,False,0.9999956342685238
http://omim.org/entry/612069,http://www.orpha.net/ORDO/Orphanet_275872,False,0.9999828796127436
http://omim.org/entry/182260,http://www.orpha.net/ORDO/Orphanet_399329,False,0.679177522509587
http://omim.org/entry/609270,http://www.orpha.net/ORDO/Orphanet_284324,False,0.9890120512675432
http://omim.org/entry/608837,http://www.orpha.net/ORDO/Orphanet_1359,False,0.9995691852097977
http://omim.org/entry/151623,http://www.orpha.net/ORDO/Orphanet_524,True,0.952570538737574
http://omim.org/entry/604348,http://www.orpha.net/ORDO/Orphanet_164736,False,0.9820130864654794
http://www.omim.org/phenotypicSeries/PS614328,http://www.orpha.net/ORDO/Orphanet_294023,True,0.999996587894339
http://omim.org/entry/619334,http://www.orpha.net/ORDO/Orphanet_1037,False,0.9996644712674416
http://omim.org/entry/618196,http://www.orpha.net/ORDO/Orphanet_137667,False,0.999997303114013
http://omim.org/entry/174800,http://www.orpha.net/ORDO/Orphanet_2466,False,0.99999408462894
http://omim.org/entry/227260,http://www.orpha.net/ORDO/Orphanet_398173,False,0.9992900850599707
http://omim.org/entry/112250,http://www.orpha.net/ORDO/Orphanet_85182,False,0.9994468818751124
http://omim.org/entry/248400,http://www.orpha.net/ORDO/Orphanet_1131,False,0.9999993295729128
http://omim.org/entry/614231,http://www.orpha.net/ORDO/Orphanet_93308,False,0.999998852758698
http://omim.org/entry/612908,http://www.orpha.net/ORDO/Orphanet_50942,True,0.56217506171228
http://omim.org/entry/614170,http://www.orpha.net/ORDO/Orphanet_90354,False,0.999999448776502
http://omim.org/entry/132400,http://www.orpha.net/ORDO/Orphanet_93308,False,0.9999722707259224
http://omim.org/entry/213200,http://www.orpha.net/ORDO/Orphanet_1170,False,0.999941398309622
http://omim.org/entry/170400,http://www.orpha.net/ORDO/Orphanet_681,False,0.9999983759447104
http://www.omim.org/phenotypicSeries/PS210600,http://www.orpha.net/ORDO/Orphanet_808,True,0.9914214920012564
http://www.omim.org/phenotypicSeries/PS212065,http://www.orpha.net/ORDO/Orphanet_319646,False,0.7772964148473414
http://omim.org/entry/208000,http://www.orpha.net/ORDO/Orphanet_51608,False,0.999999091165777
http://omim.org/entry/162900,http://www.orpha.net/ORDO/Orphanet_79467,False,0.999989435724597
http://omim.org/entry/147750,http://www.orpha.net/ORDO/Orphanet_2307,False,0.9999971839107364
http://omim.org/entry/604801,http://www.orpha.net/ORDO/Orphanet_98893,False,0.999989078116941
http://www.omim.org/phenotypicSeries/PS120100,http://www.orpha.net/ORDO/Orphanet_47045,False,0.9999992103693378
http://omim.org/entry/607932,http://www.orpha.net/ORDO/Orphanet_178364,False,0.9999782307609466
http://www.omim.org/phenotypicSeries/PS608354,http://www.orpha.net/ORDO/Orphanet_137667,False,0.9046489758882256
http://www.omim.org/phenotypicSeries/PS105550,http://www.orpha.net/ORDO/Orphanet_275872,False,0.9770212518438538
http://omim.org/entry/187601,http://www.orpha.net/ORDO/Orphanet_93274,True,0.9046480996678362
http://omim.org/entry/610125,http://www.orpha.net/ORDO/Orphanet_178364,False,0.995929547958804
http://omim.org/entry/126800,http://www.orpha.net/ORDO/Orphanet_233,False,0.880792650053219
http://omim.org/entry/618031,http://www.orpha.net/ORDO/Orphanet_98973,True,0.7772932412161668
http://omim.org/entry/186000,http://www.orpha.net/ORDO/Orphanet_295195,False,0.8519498023947245
http://omim.org/entry/606713,http://www.orpha.net/ORDO/Orphanet_888,False,0.9999986143516758
