Source,Target,Prediction,Confidence
http://omim.org/entry/615785,http://www.orpha.net/ORDO/Orphanet_171723,True,0.999994799847051
http://www.omim.org/phenotypicSeries/PS270300,http://www.orpha.net/ORDO/Orphanet_817,False,0.9706870301020154
http://omim.org/entry/613564,http://www.orpha.net/ORDO/Orphanet_261349,False,0.9999993295729128
http://omim.org/entry/605479,http://www.orpha.net/ORDO/Orphanet_99961,True,0.999999448776502
http://omim.org/entry/600884,http://www.orpha.net/ORDO/Orphanet_98893,False,0.952572376915073
http://omim.org/entry/101850,http://www.orpha.net/ORDO/Orphanet_79502,False,0.9914220755480208
http://omim.org/entry/604928,http://www.orpha.net/ORDO/Orphanet_3463,False,0.9999933694113404
http://omim.org/entry/108721,http://www.orpha.net/ORDO/Orphanet_56305,True,0.6224558052448893
http://omim.org/entry/252650,http://www.orpha.net/ORDO/Orphanet_79212,False,0.999796122783857
http://omim.org/entry/612069,http://www.orpha.net/ORDO/Orphanet_275872,True,0.9525735656997072
http://omim.org/entry/259775,http://www.orpha.net/ORDO/Orphanet_1832,True,0.998830105400433
http://omim.org/entry/615803,http://www.orpha.net/ORDO/Orphanet_411493,True,0.9933055944970848
http://omim.org/entry/609270,http://www.orpha.net/ORDO/Orphanet_284324,True,0.9770209115331048
http://omim.org/entry/182260,http://www.orpha.net/ORDO/Orphanet_399329,True,0.9984978158674364
http://omim.org/entry/609220,http://www.orpha.net/ORDO/Orphanet_2771,False,0.999994799847051
http://omim.org/entry/608837,http://www.orpha.net/ORDO/Orphanet_1359,False,0.998830339935462
http://omim.org/entry/151623,http://www.orpha.net/ORDO/Orphanet_524,True,0.9999992103693378
http://omim.org/entry/604348,http://www.orpha.net/ORDO/Orphanet_164736,True,0.9968268544290256
http://www.omim.org/phenotypicSeries/PS614328,http://www.orpha.net/ORDO/Orphanet_294023,True,0.999998137537802
http://omim.org/entry/614231,http://www.orpha.net/ORDO/Orphanet_93308,False,0.9999983759447104
http://omim.org/entry/618196,http://www.orpha.net/ORDO/Orphanet_137667,False,0.998830339935462
http://omim.org/entry/112250,http://www.orpha.net/ORDO/Orphanet_85182,False,0.9947796713873333
http://omim.org/entry/612908,http://www.orpha.net/ORDO/Orphanet_50942,True,0.9998763263659391
http://omim.org/entry/174800,http://www.orpha.net/ORDO/Orphanet_2466,False,0.9999992103693378
http://omim.org/entry/227260,http://www.orpha.net/ORDO/Orphanet_398173,False,0.9999782307609466
http://omim.org/entry/248400,http://www.orpha.net/ORDO/Orphanet_1131,False,0.9999542716337786
http://omim.org/entry/619334,http://www.orpha.net/ORDO/Orphanet_1037,False,0.9525733492343352
http://omim.org/entry/132400,http://www.orpha.net/ORDO/Orphanet_93308,True,0.999999448776502
http://omim.org/entry/213200,http://www.orpha.net/ORDO/Orphanet_1170,True,0.9399102020671845
http://omim.org/entry/614170,http://www.orpha.net/ORDO/Orphanet_90354,False,0.8175741141198921
http://omim.org/entry/170400,http://www.orpha.net/ORDO/Orphanet_681,True,0.679174668525068
